"UNIFEI / IMC - ALOCAÇÃO DE DISCIPLINAS - 1º SEMESTRE
Ciência da Computação (Grades 2013 e 2022) e Sistemas de Informação (Grades 2017 e 2022)",,,,,,,,,,,,,,,,,,,,,,,
Curso,PPC,,Código,Disciplina,CH,Prof 1,Prof 2,Prof 3,Prof 4,Prof 5,Prof 6,Prof 7,Prof 8,Prof 9,Prof 10,Prof 11,Prof 12,Prof 13,Prof 14,Prof 15,Prof 16,Prof 17,Prof 18
CCO,2022,1,XDES01,Fundamentos de Programação,4,,,,,,,,,,,,X,,,,,,
,,1,CRSC03,Arquitetura de Computadores I,4,,,,,,,,,,,,,X,,,,,
,,1,XMAC01,Matemática Discreta,4,,,,,X,,,,,,,,,,,,,
,,1,CAHC04,Projeto Integrado,2,,,,,,,,,,,,,,,,X,,
,,3,XDES02,Programação Orientada a Objetos,4,,,,,,,,,X,,,,,,,,,
,,3,XDES04,Engenharia de Software I,4,X,,,,,,,,,,,,,,,,,
,,3,CRSC02,Sistemas Operacionais,4,,,,,,,,,,,,,X,,,,,
,,3,CTCO02,Algoritmos e Estrutura de Dados II,4,,,,,,,,,,,,,,,,,,X
,,3,XMAC02,Métodos Matemáticos para Análise de Dados,4,,,,,,,,,X,,,,,,,,,
,,3,CMAC03,Algoritmos em Grafos,4,,,,,,,,,,,,,,,,X,,
,,5,CIC111,Análise e Projeto de Algoritmos II,3,,,,,,,,,,,,,,X,,,,
,,5,CIC132,Linguagens Formais e Autômatos,4,,,,,X,,,,,,,,,,,,,
,,5,COM211,Engenharia de Software II,4,,,,,,,,X,,,X,,,,,,,
,,5,COM221,Computação Orientada a Objetos II,4,,,,,,,,,,X,,,,,,,,
,,5,COM230,Banco de Dados I,4,,,,,,,,,,,,X,,,,,,
,,5,COM240,Redes de Computadores,4,,,,X,,,,,,,,,,,,,,
,,5,COM311,Análise de Investimento em Informática,3,,X,,,,,,,,,,,,,,,,
,,7,CIC271,Processamento Digital de Imagens,4,,,,,,,X,,,,,,,,,,,
,,7,COM212,Gerência de Projeto de Software,4,X,,,,,,,,,,,,,,,,,
,,7,COM213,Interação Humano-Computador,4,,,,,,X,,,,,,,,,,,,
,,7,COM222,Desenvolvimento de Sistemas na Web,5,,,,,,,,,,,,,,,X,,,
,,7,COM242,Sistemas Distribuídos,4,,,,,,,,,,,,,,,,X,,
SIN,2022,1,XDES01,Fundamentos de Programação,4,,,,,,,,,,,,,,,X,,,
,,1,SAHC04,Projeto Integrado,2,,,,,,X,,,,,,,,,,,,
,,1,SAHC05,Fundamentos de Sistemas de Informação,4,,,,,,,,,,X,,,,,,,,
,,3,XDES03,Programação Web,4,,,,,,,,,,,,,,,X,,,
,,3,SDES05,Engenharia de Software II,4,,,,,,,,X,,,,,,,,,,
,,3,STCO02,Algoritmos e Programação II,4,,,,,,,,,,,,,,X,,,,
,,3,SRSC03,Organização e Arquitetura de Computadores,4,,,,,,,,,,,X,,,,,,,
,,3,MAT017,Fundamentos de Lógica e Matemática Discre,4,,,,,X,,,,,,,,,,,,,
,,3,COM220,Computação Orientada a Objetos I,4,,,,,,,,,X,,,,,,,,,
,,5,SIN260,Sistemas Inteligentes,4,,,,,,,X,,,,,,,,,,,
,,5,COM240,Redes de Computadores,4,,,,X,,,,,,,,,,,,,,
,2017,5,SIN132,Linguagens Formais e Autômatos,4,,,,,X,,,,,,,,,,,,,
,,5,COM231,Banco de Dados II,4,,,,,,,,,,,,,,,,,,X
,,7,SIN210,Governança de TI,4,,,,,,,,X,,,,,,,,,,
,,7,COM213,Interação Humano-Computador,4,,,,,,X,,,,,,,,,,,,
,,7,SIN412,Desenvolvimento de Aplicações em SI,5,,,,,,,,,,X,,,,,,,,
,,7,SIN413,Inteligência de Negócios,4,,,,,,,,X,,,,,,,,,,
,,7,SIN414,Auditoria e Segurança de Sistemas de Inform,3,,,,X,,,,,,,,,,,,,,
,,7,SIN313,Organização e Métodos,3,,X,,,,,,,,,,,,,,,,
Outros Cursos,-,1,CCO016,Fundamentos de Programação (EMT),4,,,X,,,,,,,,,,,,,,,
,,1,CCO016,Fundamentos de Programação (EME),4,,,X,,,,,,,,,,,,,,,
,,1,CCO016,Fundamentos de Programação (EBP / ECI),4,,,X,,,,,,,,,,,,,,,
,,1,CCO016,Fundamentos de Programação (MBA),4,,,,,,,,,,,X,,,,,,,
,,1,CCO016,Fundamentos de Programação (EMA / EEN),4,,,X,,,,,,,,,,,,,,,
Optativas,-,3,OPT1,Metaheurísticas para Problemas de Otimizaç,4,,X,,,,,,,,,,,,,,,X,
,,3,OPT2,Redes Complexas,4,,,,,,,,,,,,,,,,,X,X
,,5,OPT3,Cloud Computing,4,X,,,,,,,,,,X,,,,,,,
,,3,OPT4,Tópicos em Ciência de Dados,4,,,,,,,X,,,,,,,,,,,
Pós- Graduação,-,3,POS1,Design Patterns,4,,,,,,,,,,,,,,X,,,,
,,4,POS2,Visualização da Informação,4,,,,,,,,,,,,,X,,,,,
,,5,POS3,Visão Computacional,4,,,,,,,,,,,,X,,,,,,
,,5,POS5,Robótica,4,,,,,,X,,,,,,,,,,,,
